Industry,Sector,ActiveStocks,MarketCap_Cr,CurrentRatio,CurrentMomentum,CurrentQuadrant,SectorQuadrant,LeadingDays,ImprovingDays,LaggingDays,Flips,MomentumChange5d,W1_EMA20,W2_EMA20,W3_EMA20,W3_EMA50,W3_ADNet,Category,IsSmallCap
Engineering & Construction,Industrials,3,29360.8,106.01,101.42,Leading,Leading,17,0,0,1,-1.05,73.3,73.3,83.3,80.0,1.0,Leading,False
Specialty Industrial Machinery,Industrials,1,2126.6,103.01,102.09,Leading,Leading,6,12,6,3,-0.47,80.0,100.0,100.0,100.0,0.2,Neutral,False
Steel,Basic Materials,1,1521.6,104.96,103.04,Leading,Leading,10,4,7,4,-0.65,100.0,50.0,100.0,100.0,0.4,Neutral,False
Electronics & Computer Distribution,Technology,1,1126.3,102.88,100.92,Leading,Leading,12,2,12,4,-1.24,90.0,20.0,100.0,100.0,0.2,Neutral,False
Real Estate - Development,Real Estate,1,6399.1,102.7,100.05,Leading,Leading,12,1,10,4,-1.37,100.0,100.0,100.0,100.0,0.0,Neutral,False
Airports & Air Services,Industrials,1,114564.9,103.84,101.92,Leading,Leading,8,10,8,4,-2.25,30.0,80.0,100.0,100.0,0.2,Neutral,False
Photographic Products,Financial Services,1,1156.4,101.3,100.25,Leading,Leading,7,12,11,4,-1.47,0.0,10.0,100.0,100.0,0.4,Neutral,False
IT Networking Equipment,Technology,2,1867.6,104.72,103.37,Leading,Leading,7,9,8,3,-0.73,60.0,90.0,95.0,100.0,1.0,Neutral,False
Fibres & Plastics,Fibres & Plastics,1,0.0,101.93,101.09,Leading,Leading,10,2,6,3,-1.87,100.0,100.0,90.0,100.0,0.0,Neutral,True
Non-alcoholic Beverages,Non-alcoholic Beverages,1,0.0,100.62,101.68,Leading,Leading,4,9,11,7,-1.59,100.0,100.0,90.0,100.0,0.0,Neutral,True
Telecom Equipment,Technology,5,36992.1,104.34,102.06,Leading,Leading,15,4,6,4,-0.14,66.0,90.0,84.0,96.0,0.7,Neutral,False
Banks,Financial Services,41,3626213.3,102.44,102.58,Leading,Leading,5,12,8,5,-1.59,34.6,55.1,81.0,75.1,5.3,Neutral,False
Oil & Gas Equipment & Services,Energy,1,26356.9,102.45,102.48,Leading,Leading,6,6,14,6,-1.48,70.0,40.0,80.0,80.0,0.6,Neutral,False
Petrochemicals,Basic Materials,6,2197.6,103.16,101.59,Leading,Leading,8,10,8,4,-2.22,58.3,56.7,80.0,78.3,-0.4,Neutral,False
Auto Manufacturers,Consumer Cyclical,1,37277.7,100.49,98.43,Weakening,Leading,8,6,6,4,-3.3,60.0,90.0,80.0,100.0,-0.2,Neutral,False
Electronic Components,Technology,5,12943.6,103.74,101.56,Leading,Leading,15,1,6,7,-0.87,76.0,82.0,76.0,90.0,0.8,Neutral,False
IT Training Services,Consumer Defensive,4,751.2,104.35,100.65,Leading,Improving,13,2,8,3,-2.0,40.0,80.0,75.0,80.0,-0.6,Neutral,True
Houseware,Consumer Cyclical,5,11191.4,103.19,102.66,Leading,Leading,7,11,8,4,-1.01,48.0,56.0,74.0,68.0,1.7,Neutral,False
Healthcare Facilities,Healthcare,16,250694.8,101.05,102.05,Leading,Leading,7,6,12,4,-1.82,85.6,68.8,73.8,91.2,1.9,Neutral,False
Oil Marketing & Distribution,Energy,8,266068.0,104.56,101.54,Leading,Leading,11,7,7,3,-2.0,32.5,62.5,72.5,78.8,1.2,Neutral,False
Asset Management Cos.,Financial Services,5,150840.3,102.12,102.86,Leading,Leading,5,11,10,8,-1.19,44.0,52.0,72.0,72.0,1.2,Neutral,False
Refineries/Petro-Products,Energy,9,233206.7,103.97,101.44,Leading,Leading,10,6,9,6,-1.34,48.9,61.1,71.1,70.0,0.4,Neutral,False
Non-Durable Household Prod.,Consumer Defensive,3,2729.8,101.73,103.01,Leading,Improving,5,8,11,8,-0.83,66.7,60.0,70.0,83.3,0.2,Neutral,False
Electrical Equipment & Parts,Industrials,2,22640.4,100.77,100.97,Leading,Leading,6,10,10,5,-1.33,25.0,45.0,70.0,85.0,0.0,Neutral,False
Transport Related Services,Technology,7,10750.4,104.44,102.11,Leading,Leading,10,9,7,4,-2.69,40.0,50.0,70.0,62.9,1.7,Neutral,False
Computer Hardware,Industrials,3,1409.0,102.7,104.33,Leading,Leading,3,14,8,3,-0.02,36.7,43.3,70.0,63.3,0.4,Neutral,False
Health Information Services,Healthcare,1,28044.2,99.71,101.77,Improving,Leading,1,14,8,6,-1.88,80.0,90.0,70.0,100.0,-0.2,Neutral,False
Defence,Industrials,14,717808.5,104.22,102.85,Leading,Leading,8,8,9,6,0.13,60.7,62.1,68.6,75.7,3.0,Neutral,False
Other Electrical Equipment/Products,Industrials,29,215919.9,103.04,103.08,Leading,Leading,7,9,9,6,-0.31,65.9,66.9,68.3,73.4,4.8,Neutral,False
Telecom Services,Communication Services,5,1322905.6,101.44,102.13,Leading,Leading,4,11,10,8,-0.57,44.0,62.0,68.0,70.0,-0.2,Neutral,False
Biotechnology,Basic Materials,6,85813.8,101.85,100.64,Leading,Leading,8,3,9,3,-2.0,88.3,73.3,65.0,81.7,1.4,Neutral,False
Auto Parts,Consumer Cyclical,2,24567.8,101.24,103.13,Leading,Leading,5,9,12,6,-0.55,55.0,60.0,65.0,60.0,0.4,Neutral,False
Auto Parts & Equipment,Industrials,75,360351.6,102.07,103.21,Leading,Leading,6,9,11,8,-0.99,51.7,54.1,64.0,64.0,8.4,Neutral,False
Telecom Cables,Technology,3,32075.9,105.51,102.61,Leading,Leading,14,0,0,4,1.9,66.7,83.3,63.3,66.7,0.2,Neutral,False
Other Industrial Products,Consumer Cyclical,25,178270.7,103.38,102.79,Leading,Leading,8,9,9,6,-1.0,62.0,68.8,61.6,78.8,1.6,Neutral,False
Pharmaceuticals,Healthcare,88,1064473.0,102.17,101.96,Leading,Leading,7,7,10,6,-1.75,71.1,60.8,61.5,68.4,1.7,Neutral,False
Holding Companies,Financial Services,14,531482.0,101.2,103.33,Leading,Leading,4,10,12,6,-0.66,39.3,42.9,61.4,54.3,2.4,Neutral,False
Packaged Foods,Consumer Defensive,18,205777.5,102.24,103.34,Leading,Improving,4,11,10,7,-0.8,45.6,43.3,61.1,57.8,2.4,Neutral,False
Heavy Electrical Equipment,Industrials,23,464628.0,101.74,103.45,Leading,Leading,4,10,11,8,1.05,58.3,70.4,60.0,76.1,3.0,Neutral,False
Marine Port & Services,Industrials,5,469089.1,100.74,103.6,Leading,Leading,2,9,12,3,-0.12,54.0,56.0,60.0,54.0,0.4,Neutral,False
Building Products & Equipment,Industrials,1,1073.7,99.99,102.56,Improving,Leading,2,8,16,7,0.39,30.0,0.0,60.0,40.0,0.0,Neutral,False
Jute & Jute Products,Consumer Cyclical,2,1416.8,100.3,104.39,Leading,Leading,1,9,11,5,-0.14,90.0,50.0,60.0,55.0,0.4,Neutral,False
