Symbol,Name,Industry,Date,Close,EMA20,SMA50,High52w,DistHigh,Gain30d,Volume,CsvRow,RawRow
JAYBARMARU,Jay Bharat Maruti Ltd.,Auto Parts & Equipment,2026-06-19,169.55,139.67,110.33,178.89,5.2,76.9,1744373,495,"2026-06-19,173.00,178.89,165.04,169.55,1744373"
PRITIKAUTO,Pritika Auto Industries Ltd.,Auto Parts & Equipment,2026-06-19,19.01,15.0,13.99,21.01,9.5,35.8,1171108,495,"2026-06-19,17.90,19.45,17.41,19.01,1171108"
SANDHAR,Sandhar Technologies Ltd.,Auto Parts & Equipment,2026-06-19,707.95,676.47,582.73,763.2,7.2,34.0,792100,495,"2026-06-19,693.70,730.05,688.05,707.95,792100"
MENONBE,Menon Bearings Ltd.,Auto Parts & Equipment,2026-06-19,175.43,159.07,140.7,183.0,4.1,28.0,313911,495,"2026-06-19,169.64,179.39,169.00,175.43,313911"
ESAFSFB,ESAF Small Finance Bank Ltd.,Banks,2026-06-19,36.33,29.48,27.28,36.7,1.0,32.0,20668329,495,"2026-06-19,32.50,36.70,31.76,36.33,20668329"
J&KBANK,Jammu & Kashmir Bank Ltd.,Banks,2026-06-19,163.56,152.15,139.04,167.15,2.1,17.1,3046354,493,"2026-06-19,162.90,166.23,162.02,163.56,3046354"
SOUTHBANK,South Indian Bank Ltd.,Banks,2026-06-19,48.46,44.95,41.45,49.79,2.7,16.0,14135084,495,"2026-06-19,48.50,49.15,48.05,48.46,14135084"
YESBANK,YES Bank Ltd.,Banks,2026-06-19,25.41,23.42,21.74,25.78,1.4,12.9,132491220,495,"2026-06-19,25.43,25.60,25.25,25.41,132491220"
PARAS,Paras Defence and Space Technologies Ltd.,Defence,2026-06-19,1408.65,1047.17,867.17,1443.0,2.4,62.0,19692749,495,"2026-06-19,1305.00,1443.00,1299.00,1408.65,19692749"
ASTRAMICRO,Astra Microwave Products Ltd.,Defence,2026-06-19,1684.1,1427.87,1226.42,1735.5,3.0,44.9,2096101,495,"2026-06-19,1665.00,1735.50,1660.10,1684.10,2096101"
APOLLO,Apollo Micro Systems Ltd.,Defence,2026-06-19,433.15,403.18,340.12,446.9,3.1,37.7,10218594,495,"2026-06-19,426.60,435.00,420.60,433.15,10218594"
MTARTECH,MTAR Technologies Ltd.,Defence,2026-06-19,8374.5,7492.67,6546.58,8714.0,3.9,25.4,2734902,495,"2026-06-19,8525.00,8714.00,8260.00,8374.50,2734902"
SASKEN,Sasken Technologies Ltd.,IT Consulting & Software,2026-06-19,2586.1,2185.2,1744.0,2780.2,7.0,92.6,241298,495,"2026-06-19,2699.60,2780.20,2540.00,2586.10,241298"
BBOX,Black Box Ltd.,IT Consulting & Software,2026-06-19,1023.0,987.84,813.09,1103.0,7.3,38.9,493024,495,"2026-06-19,1040.00,1061.00,1014.80,1023.00,493024"
NETWEB,Netweb Technologies India Ltd.,IT Consulting & Software,2026-06-19,5060.9,4556.28,4131.0,5244.0,3.5,17.6,2415443,495,"2026-06-19,5094.80,5244.00,5001.50,5060.90,2415443"
AURUM,Aurum Proptech Ltd.,IT Consulting & Software,2026-06-19,203.91,188.68,181.4,225.7,9.7,14.8,149779,495,"2026-06-19,200.17,205.00,196.16,203.91,149779"
YASHO,Yasho Industries Ltd.,Specialty Chemicals,2026-06-19,2878.6,2479.89,1930.47,3025.0,4.8,85.0,31165,494,"2026-06-19,2892.40,2892.40,2766.20,2878.60,31165"
FCL,Fineotex Chemical Ltd.,Specialty Chemicals,2026-06-19,43.52,39.36,31.34,45.7,4.8,56.8,9239961,495,"2026-06-19,43.49,44.55,42.71,43.52,9239961"
BALAMINES,Balaji Amines Ltd.,Specialty Chemicals,2026-06-19,2138.2,2009.6,1632.55,2288.0,6.5,40.1,152581,495,"2026-06-19,2208.00,2213.60,2128.10,2138.20,152581"
ACUTAAS,Acutaas Chemicals Limited,Specialty Chemicals,2026-06-19,3246.2,3070.96,2790.78,3444.3,5.8,19.1,340557,494,"2026-06-19,3151.90,3261.00,3130.20,3246.20,340557"
MAYURUNIQ,Mayur Uniquoters Ltd.,Textiles,2026-06-19,826.25,765.45,662.0,849.15,2.7,36.5,101206,495,"2026-06-19,827.00,847.70,818.80,826.25,101206"
ICIL,Indo Count Industries Ltd.,Textiles,2026-06-19,394.6,339.76,301.56,410.5,3.9,35.6,2676331,495,"2026-06-19,406.35,407.00,383.75,394.60,2676331"
WELSPUNLIV,Welspun Living Ltd.,Textiles,2026-06-19,162.23,145.07,136.54,165.5,2.0,22.7,5648234,495,"2026-06-19,162.00,164.58,158.20,162.23,5648234"
PRECOT,Precot Ltd.,Textiles,2026-06-19,753.3,714.3,654.11,861.25,12.5,20.2,6046,495,"2026-06-19,760.00,762.95,751.00,753.30,6046"
