Symbol,Company Name,Sector (Parent),Sub Industry (Industry)
GUJRAFFIA,Gujarat Raffia Industries Ltd.,,Containers & Packaging
ARTEMISMED,Artemis Medicare Services Ltd.,,Healthcare Facilities
OLAELEC,Ola Electric Mobility Ltd.,2/3 Wheelers,Auto Manufacturers
TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,Auto Manufacturers
RKSWAMY,R K Swamy Ltd.,Advertising & Media,Advertising & Media
SIGNPOST,Signpost India Ltd.,Advertising & Media,Advertising & Media
MOL,Meghmani Organics Ltd.,Agrochemicals,Agrochemicals
NACLIND,NACL Industries Ltd.,Agrochemicals,Agrochemicals
PIIND,PI Industries Ltd.,Agrochemicals,Agrochemicals
PUNJABCHEM,Punjab Chemicals and Crop Protection Ltd.,Agrochemicals,Agrochemicals
RALLIS,Rallis India Ltd.,Agrochemicals,Agrochemicals
SHARDACROP,Sharda Cropchem Ltd.,Agrochemicals,Agrochemicals
SUMICHEM,Sumitomo Chemical India Ltd.,Agrochemicals,Agrochemicals
UPL,UPL Ltd.,Agrochemicals,Agrochemicals
VALIANTORG,Valiant Organics Ltd.,Agrochemicals,Agrochemicals
MAANALU,Maan Aluminium Ltd.,Aluminium and Aluminium Products,Aluminium and Aluminium Products
MANAKALUCO,Manaksia Aluminium Company Ltd.,Aluminium and Aluminium Products,Aluminium and Aluminium Products
MMP,MMP Industries Ltd.,Aluminium and Aluminium Products,Aluminium and Aluminium Products
NATIONALUM,National Aluminium Company Ltd.,Aluminium and Aluminium Products,Aluminium and Aluminium Products
VEDL,Vedanta Ltd.,Aluminium and Aluminium Products,Aluminium and Aluminium Products
NAM-INDIA,Nippon Life India Asset Management Ltd.,Asset Management Cos.,Asset Management Cos.
UTIAMC,UTI Asset Management Company Ltd.,Asset Management Cos.,Asset Management Cos.
JTEKTINDIA,JTEKT India Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
KALYANIFRG,Kalyani Forge Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
KROSS,Kross Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
LGBBROSLTD,LG Balakrishnan & Bros Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
LUMAXIND,Lumax Industries Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
LUMAXTECH,Lumax Auto Technologies Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
MENONBE,Menon Bearings Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
MINDACORP,Minda Corporation Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
MOTHERSON,Samvardhana Motherson International Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
MSUMI,Motherson Sumi Wiring India Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
MUNJALAU,Munjal Auto Industries Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
MUNJALSHOW,Munjal Showa Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
NDRAUTO,NDR Auto Components Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
PPAP,PPAP Automotive Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
PRECAM,Precision Camshafts Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
PRICOLLTD,Pricol Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
PRITIKAUTO,Pritika Auto Industries Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
RACLGEAR,Racl Geartech Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
RAJRATAN,Rajratan Global Wire Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
REMSONSIND,Remsons Industries Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
RICOAUTO,Rico Auto Industries Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
RML,Rane (Madras) Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
ROLEXRINGS,Rolex Rings Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SANDHAR,Sandhar Technologies Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SANSERA,Sansera Engineering Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SCHAEFFLER,Schaeffler India Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SHANTIGEAR,Shanthi Gears Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SHARDAMOTR,Sharda Motor Industries Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SINTERCOM,Sintercom India Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SJS,SJS Enterprises Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SONACOMS,Sona BLW Precision Forgings Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SSWL,Steel Strips Wheels Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
STERTOOLS,Sterling Tools Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SUBROS,Subros Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SUNCLAY,Sundaram-Clayton Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SUNDRMBRAK,Sundaram Brake Lining Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SUNDRMFAST,Sundram Fasteners Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SUPRAJIT,Suprajit Engineering Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
SWARAJENG,Swaraj Engines Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
TALBROAUTO,Talbros Automotive Components Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
TIINDIA,Tube Investments of India Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
TVSHLTD,TVS Holdings Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
UCAL,UCAL Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
UNOMINDA,UNO Minda Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
VARROC,Varroc Engineering Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
WHEELS,Wheels India Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
YUKEN,Yuken India Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Auto Parts & Equipment,Auto Parts & Equipment
MODIRUBBER,Modi Rubber Ltd.,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products
MRF,MRF Ltd.,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products
PIXTRANS,Pix Transmissions Ltd.,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products
RUBFILA,Rubfila International Ltd.,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products
SAMPANN,Sampann Utpadan India Ltd.,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products
TOLINS,Tolins Tyres Ltd.,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products
TVSSRICHAK,TVS Srichakra Ltd.,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products
ONEPOINT,One Point One Solutions Ltd.,BPO/KPO,BPO/KPO
QUESS,Quess Corp Ltd.,BPO/KPO,BPO/KPO
KARURVYSYA,Karur Vysya Bank Ltd.,Banks,Banks
KOTAKBANK,Kotak Mahindra Bank Ltd.,Banks,Banks
KTKBANK,Karnataka Bank Ltd.,Banks,Banks
MAHABANK,Bank of Maharashtra,Banks,Banks
PNB,Punjab National Bank,Banks,Banks
PSB,Punjab & Sind Bank,Banks,Banks
RBLBANK,RBL Bank Ltd.,Banks,Banks
SBIN,State Bank of India,Banks,Banks
SOUTHBANK,South Indian Bank Ltd.,Banks,Banks
SURYODAY,Suryoday Small Finance Bank Ltd.,Banks,Banks
TMB,Tamilnad Mercantile Bank Ltd.,Banks,Banks
UCOBANK,UCO Bank,Banks,Banks
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,Banks,Banks
UNIONBANK,Union Bank of India,Banks,Banks
UTKARSHBNK,Utkarsh Small Finance Bank Ltd.,Banks,Banks
YESBANK,YES Bank Ltd.,Banks,Banks
ARIES,Aries Agro Ltd.,Basic Materials,Agrochemicals
ASTEC,Astec Lifesciences Ltd.,Basic Materials,Agrochemicals
BAYERCROP,Bayer Cropscience Ltd.,Basic Materials,Agrochemicals
BESTAGRO,Best Agrolife Ltd.,Basic Materials,Agrochemicals
BHAGCHEM,Bhagiradha Chemicals & Industries Ltd.,Basic Materials,Agrochemicals
BHARATRAS,Bharat Rasayan Ltd.,Basic Materials,Agrochemicals
DHANUKA,Dhanuka Agritech Ltd.,Basic Materials,Agrochemicals
DHARMAJ,Dharmaj Crop Guard Ltd.,Basic Materials,Agrochemicals
HERANBA,Heranba Industries Ltd.,Basic Materials,Agrochemicals
INSECTICID,Insecticides (India) Ltd.,Basic Materials,Agrochemicals
IPL,India Pesticides Ltd.,Basic Materials,Agrochemicals
CENTEXT,Century Extrusions Ltd.,Basic Materials,Aluminium and Aluminium Products
HINDALCO,Hindalco Industries Ltd.,Basic Materials,Aluminium and Aluminium Products
APCOTEXIND,Apcotex Industries Ltd.,Basic Materials,Auto Tyres & Rubber Products
ADVENZYMES,Advanced Enzyme Technologies Ltd.,Basic Materials,Biotechnology
ACC,ACC Ltd.,Basic Materials,Cement & Cement Products
ACL,Andhra Cements Ltd.,Basic Materials,Cement & Cement Products
AMBUJACEM,Ambuja Cements Ltd.,Basic Materials,Cement & Cement Products
APCL,Anjani Portland Cement Ltd.,Basic Materials,Cement & Cement Products
BIRLACORPN,Birla Corporation Ltd.,Basic Materials,Cement & Cement Products
BVCL,Barak Valley Cements Ltd.,Basic Materials,Cement & Cement Products
DALBHARAT,Dalmia Bharat Ltd.,Basic Materials,Cement & Cement Products
DECCANCE,Deccan Cements Ltd.,Basic Materials,Cement & Cement Products
GRASIM,Grasim Industries Ltd.,Basic Materials,Cement & Cement Products
HEIDELBERG,Heidelberg Cement India Ltd.,Basic Materials,Cement & Cement Products
INDIACEM,India Cements Ltd.,Basic Materials,Cement & Cement Products
JKCEMENT,JK Cement Ltd.,Basic Materials,Cement & Cement Products
JKLAKSHMI,JK Lakshmi Cement Ltd.,Basic Materials,Cement & Cement Products
ACI,Archean Chemical Industries Ltd.,Basic Materials,Commodity Chemicals
AMNPLST,Amines & Plasticizers Ltd.,Basic Materials,Commodity Chemicals
ANDHRSUGAR,Andhra Sugars Ltd.,Basic Materials,Commodity Chemicals
BHAGERIA,Bhageria Industries Ltd.,Basic Materials,Commodity Chemicals
DCW,DCW Ltd.,Basic Materials,Commodity Chemicals
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corporation Ltd.,Basic Materials,Commodity Chemicals
DEEPAKNTR,Deepak Nitrite Ltd.,Basic Materials,Commodity Chemicals
DMCC,DMCC Speciality Chemicals Ltd.,Basic Materials,Commodity Chemicals
FAIRCHEMOR,Fairchem Organics Ltd.,Basic Materials,Commodity Chemicals
FOSECOIND,Foseco India Ltd.,Basic Materials,Commodity Chemicals
GANESHBE,Ganesh Benzoplast Ltd.,Basic Materials,Commodity Chemicals
GHCL,GHCL Ltd.,Basic Materials,Commodity Chemicals
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,Basic Materials,Commodity Chemicals
GULPOLY,Gulshan Polyols Ltd.,Basic Materials,Commodity Chemicals
INDIAGLYCO,India Glycols Ltd.,Basic Materials,Commodity Chemicals
INDOAMIN,Indo Amines Ltd.,Basic Materials,Commodity Chemicals
INDOBORAX,Indo Borax & Chemicals Ltd.,Basic Materials,Commodity Chemicals
IVP,IVP Ltd.,Basic Materials,Commodity Chemicals
ABMINTLLTD,ABM International Ltd.,Basic Materials,Commodity Trading  & Distribution
ARENTERP,Rajdarshan Industries Ltd.,Basic Materials,Commodity Trading  & Distribution
ASHOKAMET,Ashoka Metcast Ltd.,Basic Materials,Commodity Trading  & Distribution
GOYALALUM,Goyal Aluminiums Ltd.,Basic Materials,Commodity Trading  & Distribution
ESTER,Ester Industries Ltd.,Basic Materials,Containers & Packaging
GRWRHITECH,Garware Hi-Tech Films Ltd.,Basic Materials,Containers & Packaging
CUBEXTUB,Cubex Tubings Ltd.,Basic Materials,Copper
HINDCOPPER,Hindustan Copper Ltd.,Basic Materials,Copper
AGROPHOS,Agro Phos India Ltd.,Basic Materials,Fertilizers
BOHRAIND,Bohra Industries Ltd.,Basic Materials,Fertilizers
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd.,Basic Materials,Fertilizers
COROMANDEL,Coromandel International Ltd.,Basic Materials,Fertilizers
FACT,The Fertilisers and Chemicals Travancore Ltd.,Basic Materials,Fertilizers
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Basic Materials,Fertilizers
GSFC,Gujarat State Fertilizer & Chemicals Ltd.,Basic Materials,Fertilizers
ARCHIDPLY,Archidply Industries Ltd.,Basic Materials,Forest Products
CENTURYPLY,Century Plyboards (India) Ltd.,Basic Materials,Forest Products
GREENPANEL,Greenpanel Industries Ltd.,Basic Materials,Forest Products
GREENPLY,Greenply Industries Ltd.,Basic Materials,Forest Products
ASIANPAINT,Asian Paints Ltd.,Basic Materials,Furniture-Furnishing-Paints
BERGEPAINT,Berger Paints (India) Ltd.,Basic Materials,Furniture-Furnishing-Paints
GSLSU,Global Surfaces Ltd.,Basic Materials,Furniture-Furnishing-Paints
INDIGOPNTS,Indigo Paints Ltd.,Basic Materials,Furniture-Furnishing-Paints
AEROENTER,Aeroflex Enterprises Limited,Basic Materials,Iron & Steel Products
APLAPOLLO,APL Apollo Tubes Ltd.,Basic Materials,Iron & Steel Products
BANSALWIRE,Bansal Wire Industries Ltd.,Basic Materials,Iron & Steel Products
BEDMUTHA,Bedmutha Industries Ltd.,Basic Materials,Iron & Steel Products
BHARATWIRE,Bharat Wire Ropes Ltd.,Basic Materials,Iron & Steel Products
ELECTHERM,Electrotherm (India) Ltd.,Basic Materials,Iron & Steel Products
GOODLUCK,Goodluck India Ltd.,Basic Materials,Iron & Steel Products
HARIOMPIPE,Hariom Pipe Industries Ltd.,Basic Materials,Iron & Steel Products
HITECH,Hi-Tech Pipes Ltd.,Basic Materials,Iron & Steel Products
GALLANTT,Gallantt Ispat Ltd.,Basic Materials,Iron & Steel/Interm.Products
GPIL,Godawari Power & Ispat Ltd.,Basic Materials,Iron & Steel/Interm.Products
HISARMETAL,Hisar Metal Industries Ltd.,Basic Materials,Iron & Steel/Interm.Products
IMFA,Indian Metals & Ferro Alloys Ltd.,Basic Materials,Iron & Steel/Interm.Products
INCREDIBLE,Incredible Industries Ltd.,Basic Materials,Iron & Steel/Interm.Products
JAYNECOIND,Jayaswal Neco Industries Ltd.,Basic Materials,Iron & Steel/Interm.Products
JINDALSTEL,Jindal Steel & Power Ltd.,Basic Materials,Iron & Steel/Interm.Products
JSL,Jindal Stainless Ltd.,Basic Materials,Iron & Steel/Interm.Products
20MICRONS,20 Microns Ltd.,Basic Materials,Mining
ASHAPURMIN,Ashapura Minechem Ltd.,Basic Materials,Mining
GOCLCORP,GOCL Corporation Ltd.,Basic Materials,Oil Marketing & Distribution
GULFOILLUB,Gulf Oil Lubricants India Ltd.,Basic Materials,Oil Marketing & Distribution
AVTNPL,AVT Natural Products Ltd.,Basic Materials,Other Agricultural Products
INDOUS,Indo US Bio-Tech Ltd.,Basic Materials,Other Agricultural Products
EIDPARRY,EID Parry (India) Ltd.,Basic Materials,Other Food Products
IFGLEXPOR,IFGL Refractories Ltd.,Basic Materials,Other Industrial Goods
JINDALSAW,Jindal Saw Ltd.,Basic Materials,Other Industrial Products
IGIL,International Gemological Institute Limited,Basic Materials,Other Precious Metals & Mining
ANDHRAPAP,Andhra Paper Ltd.,Basic Materials,Paper & Paper Products
EMAMIPAP,Emami Paper Mills Ltd.,Basic Materials,Paper & Paper Products
GENUSPAPER,Genus Paper & Boards Ltd.,Basic Materials,Paper & Paper Products
JKPAPER,JK Paper Ltd.,Basic Materials,Paper & Paper Products
AGARIND,Agarwal Industrial Corporation Ltd.,Basic Materials,Petrochemicals
IGPL,I G Petrochemicals Ltd.,Basic Materials,Petrochemicals
JAICORPLTD,Jai Corp Ltd.,Basic Materials,Plastic Products
GOACARBON,Goa Carbon Ltd.,Basic Materials,Refineries/Petro-Products
AARTIIND,Aarti Industries Ltd.,Basic Materials,Specialty Chemicals
AARTISURF,Aarti Surfactants Ltd.,Basic Materials,Specialty Chemicals
ACUTAAS,Acutaas Chemicals Limited,Basic Materials,Specialty Chemicals
AETHER,Aether Industries Ltd.,Basic Materials,Specialty Chemicals
AKSHARCHEM,AksharChem (India) Ltd.,Basic Materials,Specialty Chemicals
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Basic Materials,Specialty Chemicals
ANURAS,Anupam Rasayan India Ltd.,Basic Materials,Specialty Chemicals
ARVEE,Arvee Laboratories (India) Ltd.,Basic Materials,Specialty Chemicals
ASAHISONG,Asahi Songwon Colors Ltd.,Basic Materials,Specialty Chemicals
ATUL,Atul Ltd.,Basic Materials,Specialty Chemicals
BALAMINES,Balaji Amines Ltd.,Basic Materials,Specialty Chemicals
BASF,BASF India Ltd.,Basic Materials,Specialty Chemicals
BEPL,Bhansali Engineering Polymers Ltd.,Basic Materials,Specialty Chemicals
CAMLINFINE,Camlin Fine Sciences Ltd.,Basic Materials,Specialty Chemicals
CHEMCON,Chemcon Speciality Chemicals Ltd.,Basic Materials,Specialty Chemicals
CHEMPLASTS,Chemplast Sanmar Ltd.,Basic Materials,Specialty Chemicals
CLEAN,Clean Science & Technology Ltd.,Basic Materials,Specialty Chemicals
DDEVPLSTIK,Ddev Plastiks Industries Limited,Basic Materials,Specialty Chemicals
DIAMINESQ,Diamines & Chemicals Ltd.,Basic Materials,Specialty Chemicals
DICIND,DIC India Ltd.,Basic Materials,Specialty Chemicals
DYNPRO,Dynemic Products Ltd.,Basic Materials,Specialty Chemicals
EPIGRAL,Epigral Ltd.,Basic Materials,Specialty Chemicals
EXCELINDUS,Excel Industries Ltd.,Basic Materials,Specialty Chemicals
FCL,Fineotex Chemical Ltd.,Basic Materials,Specialty Chemicals
