Sector,Industry,Stock Code
Aerospace & Defence,Aerospace & Defence - Equipments,APOLLO
Aerospace & Defence,Aerospace & Defence - Equipments,ASTRAMICRO
Aerospace & Defence,Aerospace & Defence - Equipments,AXISCADES
Aerospace & Defence,Aerospace & Defence - Equipments,AZAD
Aerospace & Defence,Aerospace & Defence - Equipments,BDL
Aerospace & Defence,Aerospace & Defence - Equipments,BEL
Aerospace & Defence,Aerospace & Defence - Equipments,BEML
Aerospace & Defence,Aerospace & Defence - Equipments,DATAPATTNS
Aerospace & Defence,Aerospace & Defence - Equipments,DCXINDIA
Aerospace & Defence,Aerospace & Defence - Equipments,HAL
Aerospace & Defence,Aerospace & Defence - Equipments,IDEAFORGE
Aerospace & Defence,Aerospace & Defence - Equipments,MIDHANI
Aerospace & Defence,Aerospace & Defence - Equipments,MTARTECH
Aerospace & Defence,Aerospace & Defence - Equipments,PARAS
Aerospace & Defence,Aerospace & Defence - Equipments,ROSSTECH
Aerospace & Defence,Aerospace & Defence - Equipments,SIGMAADV
Aerospace & Defence,Aerospace & Defence - Equipments,ZENTEC
Aerospace & Defence,Engineering - Heavy - General,APSISAERO
Aerospace & Defence,Engineering - Heavy - General,UNIMECH
Aerospace & Defence,Engineering - Light - General,AEQUS
Aerospace & Defence,Engineering - Light - General,C2C
Aerospace & Defence,Engineering - Light - General,TECHERA
Aerospace & Defence,Industrial Explosives,PREMEXPLN
Aerospace & Defence,Industrial Explosives,SOLARINDS
Aerospace & Defence,Ship - Docks/Breaking/Repairs,COCHINSHIP
Aerospace & Defence,Ship - Docks/Breaking/Repairs,GRSE
Aerospace & Defence,Ship - Docks/Breaking/Repairs,MAZDOCK
Aerospace & Defence,Shipping,KRISHNADEF
Aerospace & Defence,Telecom Services,ITI
Aerospace & Defence,Telecommunications - Equipment,KAVDEFENCE
Agro Chemicals,Pesticides/Agrochemicals,ADVANCE
Agro Chemicals,Pesticides/Agrochemicals,AMBEY
Agro Chemicals,Pesticides/Agrochemicals,ARISTO
Agro Chemicals,Pesticides/Agrochemicals,ASTEC
Agro Chemicals,Pesticides/Agrochemicals,BAYERCROP
Agro Chemicals,Pesticides/Agrochemicals,BESTAGRO
Agro Chemicals,Pesticides/Agrochemicals,BHAGCHEM
Agro Chemicals,Pesticides/Agrochemicals,BHARATRAS
Agro Chemicals,Pesticides/Agrochemicals,CLSL
Agro Chemicals,Pesticides/Agrochemicals,DHANUKA
Agro Chemicals,Pesticides/Agrochemicals,DHARMAJ
Agro Chemicals,Pesticides/Agrochemicals,EXCELINDUS
Agro Chemicals,Pesticides/Agrochemicals,GSPCROP
Agro Chemicals,Pesticides/Agrochemicals,HERANBA
Agro Chemicals,Pesticides/Agrochemicals,IGCL
Agro Chemicals,Pesticides/Agrochemicals,INSECTICID
Agro Chemicals,Pesticides/Agrochemicals,IPL
Agro Chemicals,Pesticides/Agrochemicals,MOL
Agro Chemicals,Pesticides/Agrochemicals,NACLIND
Agro Chemicals,Pesticides/Agrochemicals,PIIND
Agro Chemicals,Pesticides/Agrochemicals,PUNJABCHEM
Agro Chemicals,Pesticides/Agrochemicals,RALLIS
