Bucket,Symbol,Company_Name,Listing_Date,Days_Since_Listing,Offer_Price,Current_Price,Pct_From_Offer,RS_Vs_Index,Forming_Base,Base_Grade
1-5d,PERNIASPOP,Purple Style Labs Limited,2026-09-07,1,575.0,568.55,-1.1,0.0,False,
1-5d,PRIORITY,Priority Jewels Limited,2026-09-04,2,200.0,229.92,15.0,-4.3,False,
1-5d,ESDS,ESDS Software Solution Limited,2026-09-04,2,429.0,1090.05,154.1,20.5,False,
1-5d,LUMINO,Lumino Industries Limited,2026-09-03,3,82.0,114.82,40.0,4.5,False,
1-5d,ANNU,Annu Projects Limited,2026-09-02,4,99.0,64.82,-34.5,-13.7,False,
1-5d,SYMBIOTEC,Symbiotec Pharmalab Limited,2026-09-01,5,988.0,1098.7,11.2,1.2,False,
1-5d,HTEL,Hy-Tech Engineers Limited,2026-09-01,5,53.0,73.25,38.2,-5.8,False,
1-5d,SKYWAYS,Skyways Air Services Limited,2026-09-01,5,138.0,113.91,-17.5,-8.1,False,
6-10d,AUGMONT,Augmont Enterprises Limited,2026-08-31,6,788.0,891.6,13.1,-0.6,False,
6-10d,TEMPSENS,Tempsens Instruments (India) Limited,2026-08-28,7,300.0,546.2,82.1,-5.3,False,
6-10d,GAJA,Gaja Alternative Asset Management Limited,2026-08-26,9,160.0,155.42,-2.9,-6.1,False,
6-10d,SUNSHINE,Sunshine Pictures Limited,2026-08-25,10,360.0,486.3,35.1,34.0,False,
6-10d,SHANKESH,Shankesh Jewellers Limited,2026-08-25,10,93.0,102.37,10.1,10.2,False,
11-20d,LALITHAA,Lalithaa Jewellery Mart Limited,2026-08-24,11,201.0,317.75,58.1,29.7,False,
11-20d,HORIZONIND,Horizon Industrial Parks Limited,2026-08-24,11,60.0,54.85,-8.6,-3.9,False,
11-20d,SHIPROCKET,Shiprocket Limited,2026-08-19,14,97.0,135.21,39.4,-4.5,False,
11-20d,BLEL,Behari Lal Engineering Limited,2026-08-19,14,285.0,478.3,67.8,-3.5,False,
11-20d,MILKYMIST,Milky Mist Dairy Food Limited,2026-08-18,15,140.0,276.01,97.2,53.6,False,
11-20d,MOLBIO,Molbio Diagnostics Limited,2026-08-17,16,807.0,1127.2,39.7,10.3,False,
11-20d,DHOOTTRANS,Dhoot Transmission Limited,2026-08-17,16,871.0,1551.7,78.2,32.8,False,
11-20d,TECHNOCRAF,Technocraft Ventures Limited,2026-08-14,17,212.0,388.95,83.5,27.4,False,
11-20d,ARDEE,Ardee Industries Limited,2026-08-12,19,53.0,56.09,5.8,-13.7,False,
21-30d,JNPR,Juniper Green Energy Limited,2026-08-06,23,225.0,260.65,15.8,3.8,False,
21-30d,MVELECTRO,MV Electrosystems Limited,2026-08-06,23,425.0,806.45,89.8,32.7,False,
21-30d,MANIPALHOS,Manipal Health Enterprises Limited,2026-08-05,24,590.0,727.25,23.3,12.5,False,
21-30d,XTRANET,Xtranet Technologies Limited,2026-07-30,28,127.0,279.83,120.3,118.8,False,
21-30d,INDOMIM,INDO-MIM Limited,2026-07-30,28,485.0,946.7,95.2,29.8,True,Grade B
21-30d,LCL,Lohia Corp Limited,2026-07-30,28,425.0,565.5,33.1,16.5,False,
31-60d,CMLL,Caliber Mining and Logistics Limited,2026-07-24,32,424.0,490.25,15.6,-7.2,True,Grade A
31-60d,ALPINETEX,Alpine Texworld Limited,2026-07-21,35,105.0,63.17,-39.8,-35.0,False,
31-60d,SBIFUNDS,SBI Funds Management Limited,2026-07-21,35,574.0,557.8,-2.8,-6.8,True,Grade B
31-60d,AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,2026-04-02,36,212.0,194.29,-8.4,6.9,False,
31-60d,LASERPOWER,Laser Power & Infra Limited,2026-07-16,38,214.0,310.7,45.2,19.6,True,Grade B
31-60d,KUSUMGAR,Kusumgar Limited,2026-07-15,39,419.0,571.9,36.5,-3.9,True,Grade A
31-60d,KNACK,Knack Packaging Limited,2026-07-08,44,170.0,185.93,9.4,2.0,False,
31-60d,AASTHA,Aastha Spintex Limited,2026-07-06,46,136.0,77.36,-43.1,-40.7,True,Grade A
31-60d,CSM,CSM Technologies Limited,2026-07-02,48,113.0,93.57,-17.2,-11.2,True,Grade B
31-60d,RAMBHAJO,Advit Jewels Limited,2026-07-01,49,138.0,276.32,100.2,54.9,False,
31-60d,CORDELIA,Waterways Leisure Tourism Limited,2026-07-01,49,808.0,109.08,-86.5,64.2,False,
31-60d,TURTLEMINT,Turtlemint Fintech Solutions Limited,2026-06-29,51,152.0,142.42,-6.3,5.9,False,
61-100d,HEXAGON,Hexagon Nutrition Limited,2026-06-12,61,45.0,65.72,46.0,29.1,False,
61-100d,CMRGREEN,CMR Green Technologies Limited,2026-06-10,63,192.0,221.03,15.1,-10.8,False,
61-100d,KISSHT,Onemi Technology Solutions Limited,2026-05-08,85,171.0,320.95,87.7,55.5,False,
61-100d,OMPOWER,Om Power Transmission Limited,2026-04-17,99,175.0,170.31,-2.7,-11.4,False,
