Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Initial Stop,Initial Shares,PnL Net,R-Multiple,Status,Exit Reason
DELTACORP,2026-05-19,2026-05-21,68.62,71.78,65.00,1000,3160.00,0.87,FULLY_EXITED,Demerger declaration
MANORG,2026-05-17,2026-05-27,576.00,591.84,556.00,150,2376.00,0.79,FULLY_EXITED,Resistance at 600 + Q4 results coming
BAJAJCON,2026-04-27,2026-05-05,455.00,482.00,432.00,300,8100.00,1.17,FULLY_EXITED,Pretrade conditions not holding
SPARC,2026-04-23,2026-04-24,143.75,139.50,141.00,500,-2125.00,-1.55,STOPPED_OUT,SL hit 139.50 and reversed
SHILPAMED,2026-04-23,2026-04-24,419.00,426.00,402.00,300,2100.00,0.41,FULLY_EXITED,Sold early due to market/index weakness
SAKAR,2026-04-21,2026-04-24,613.50,620.00,582.50,300,1950.00,0.21,FULLY_EXITED,Sold end of week before weekend risk
DMCC,2026-04-21,2026-04-21,288.40,278.00,276.00,600,-6240.00,-0.84,STOPPED_OUT,Failed breakout
ZENTEC,2026-04-17,2026-04-20,1540.00,1655.00,1540.00,100,11500.00,1.00,FULLY_EXITED,Sold early on pullback
CONNPLEX,2026-05-12,2026-06-19,271.00,214.86,265.00,800,-44912.00,-9.36,STOPPED_OUT,Stop loss hit
KIRLOSENG,2026-06-22,2026-06-22,2200.00,2200.00,2024.00,56,0.00,0.00,STOPPED_OUT,Stop loss hit
APCOTEXIND,2026-05-18,2026-06-25,485.00,511.85,456.00,100,3692.50,1.27,FULLY_EXITED,Closed below EMA20 trailing stop
NRBBEARING,2026-06-15,2026-06-29,426.00,410.00,410.00,300,-4800.00,-1.00,STOPPED_OUT,Stop loss hit
TATACOMM,2026-06-22,2026-06-30,2016.50,1970.60,1873.17,69,-3167.10,-0.32,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
VIYASH,2026-06-22,2026-06-30,260.00,276.75,242.85,583,9765.25,0.98,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
STOVEKRAFT,2026-06-22,2026-06-30,698.90,775.50,644.80,184,14094.40,1.42,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
GREAVESCOT,2026-06-22,2026-06-30,201.00,219.98,188.74,815,15468.70,1.55,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
NARMADA,2026-06-29,2026-06-30,42.91,39.48,39.48,2913,-9999.75,-1.00,STOPPED_OUT,Stop loss hit
THANGAMAYL,2026-07-01,2026-07-01,6443.00,5927.56,5927.56,19,-9793.36,-1.00,STOPPED_OUT,Stop loss hit
LAURUSLABS,2026-06-23,2026-07-01,1443.40,1493.30,1342.90,99,4940.10,0.50,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
PAISALO,2026-07-01,2026-07-01,60.10,60.10,58.05,4159,11122.65,1.30,STOPPED_OUT,Stop loss hit
GOLDTECH,2026-07-01,2026-07-01,54.11,54.11,49.78,2310,4030.94,0.40,STOPPED_OUT,Stop loss hit
ACUTAAS,2026-06-29,2026-07-07,3315.00,3391.00,3049.80,37,2812.00,0.29,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
WANBURY,2026-07-01,2026-07-08,280.85,270.85,258.38,445,-4450.00,-0.45,FULLY_EXITED,Closed below EMA20 trailing stop
KILITCH,2026-07-01,2026-07-08,195.81,183.12,180.15,638,-8096.22,-0.81,FULLY_EXITED,Closed below EMA20 trailing stop
AEGISLOG,2026-07-02,2026-07-09,1245.00,1240.00,1145.40,100,2524.00,0.25,STOPPED_OUT,Stop loss hit
PSPPROJECT,2026-07-01,2026-07-09,1009.90,1069.70,929.11,123,7355.39,0.74,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
INOXINDIA,2026-07-09,2026-07-14,1947.00,1856.10,1791.24,64,-5817.60,-0.58,FULLY_EXITED,Closed below EMA20 trailing stop
PDSL,2026-07-02,2026-07-14,364.65,398.90,335.48,342,11713.50,1.17,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
GNA,2026-07-14,2026-07-14,529.05,529.05,486.73,236,0.00,0.00,STOPPED_OUT,Stop loss hit
FILATEX,2026-07-14,2026-07-15,64.00,63.75,58.88,1953,7563.75,0.76,STOPPED_OUT,Stop loss hit
IXIGO,2026-07-01,2026-07-16,198.00,198.89,182.16,631,561.59,0.06,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
CUPID,2026-07-15,2026-07-16,219.39,219.39,201.84,569,0.00,0.00,STOPPED_OUT,Stop loss hit
SYRMA,2026-07-09,2026-07-17,1410.40,1359.10,1297.57,88,-4514.40,-0.45,FULLY_EXITED,Closed below EMA20 trailing stop
UDS,2026-07-17,2026-07-17,193.00,193.00,178.04,668,0.00,0.00,STOPPED_OUT,Stop loss hit
MUTHOOTMF,2026-07-14,2026-07-20,245.70,235.83,226.04,508,-5013.96,-0.50,STOPPED_OUT,Stop loss hit
SANSERA,2026-07-20,2026-07-20,3259.50,3259.50,2998.74,38,0.00,0.00,STOPPED_OUT,Stop loss hit
INDOSTAR,2026-07-08,2026-07-21,255.90,270.60,237.88,554,8143.81,0.82,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
AEGISVOPAK,2026-07-21,2026-07-21,281.50,281.50,258.98,444,0.00,0.00,STOPPED_OUT,Stop loss hit
HSCL,2026-07-21,2026-07-21,771.00,771.00,709.32,162,2861.03,0.29,STOPPED_OUT,Stop loss hit
GABRIEL,2026-07-21,2026-07-21,1407.00,1407.00,1294.44,88,0.00,0.00,STOPPED_OUT,Stop loss hit
GANDHAR,2026-07-21,2026-07-21,231.70,231.70,213.16,539,0.00,0.00,STOPPED_OUT,Stop loss hit
HUHTAMAKI,2026-07-21,2026-07-21,252.89,252.89,232.66,494,0.00,0.00,STOPPED_OUT,Stop loss hit
GRINDWELL,2026-07-16,2026-07-22,2150.00,2020.80,1978.00,58,-7493.60,-0.75,FULLY_EXITED,Closed below EMA20 trailing stop
GHCLTEXTIL,2026-07-21,2026-07-22,112.96,112.96,103.92,1106,0.00,0.00,STOPPED_OUT,Stop loss hit
SERVOTECH,2026-07-22,2026-07-22,100.70,100.70,98.85,2482,0.00,0.00,STOPPED_OUT,Stop loss hit
CENTENKA,2026-07-15,2026-07-22,538.00,558.65,494.96,232,4790.81,0.48,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
ANANTRAJ,2026-07-22,2026-07-23,620.00,615.00,570.40,201,-1005.00,-0.10,STOPPED_OUT,Stop loss hit
RISHABH,2026-07-02,2026-07-24,593.00,622.30,546.60,215,6299.50,0.63,FULLY_EXITED,Closed below EMA20 trailing stop
SHRIPISTON,2026-07-20,2026-07-24,4169.90,4169.90,3836.31,29,0.00,0.00,STOPPED_OUT,Stop loss hit
TINNARUBR,2026-07-22,2026-07-24,1095.00,1069.95,1007.40,114,-2855.71,-0.29,STOPPED_OUT,Stop loss hit
BLSE,2026-07-24,2026-07-24,263.00,263.00,241.96,475,2842.82,0.28,STOPPED_OUT,Stop loss hit
INDOBORAX,2026-07-24,2026-07-24,400.00,365.00,371.50,350,-12250.00,-1.23,STOPPED_OUT,Stop loss hit
EXIDEIND,2026-07-17,2026-07-28,421.00,423.40,387.32,296,710.40,0.07,FULLY_EXITED,Closed below EMA20 trailing stop
NUVAMA,2026-07-23,2026-07-28,1880.00,1862.90,1729.60,66,-1128.60,-0.11,STOPPED_OUT,Stop loss hit
SURYODAY,2026-07-24,2026-07-28,197.60,181.79,181.79,632,-9990.66,-1.00,STOPPED_OUT,Stop loss hit
ESAFSFB,2026-07-24,2026-07-29,35.77,35.77,32.91,3494,0.00,0.00,STOPPED_OUT,Stop loss hit
SKMEGGPROD,2026-07-29,2026-07-29,278.95,273.50,256.63,448,-2441.61,-0.24,FULLY_EXITED,Closed below EMA20 trailing stop
CARTRADE,2026-07-29,2026-07-29,2989.80,2750.62,2750.62,41,-9806.54,-1.00,STOPPED_OUT,Stop loss hit
TBZ,2026-07-29,2026-07-29,289.76,266.58,266.58,431,-9990.93,-1.00,STOPPED_OUT,Stop loss hit
INDORAMA,2026-07-29,2026-07-29,49.50,49.50,45.54,2525,0.00,0.00,STOPPED_OUT,Stop loss hit
NEWGEN,2026-07-29,2026-07-29,534.45,534.45,491.69,233,2677.75,0.27,STOPPED_OUT,Stop loss hit
CUB,2026-07-29,2026-07-30,236.00,217.12,217.12,529,-9987.52,-1.00,STOPPED_OUT,Stop loss hit
SJS,2026-07-24,2026-07-31,2295.00,2391.70,2111.57,54,5221.80,0.53,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
THYROCARE,2026-07-24,2026-07-31,563.90,579.00,518.79,221,3337.09,0.33,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
RGL,2026-07-29,2026-07-31,118.00,117.27,112.10,1694,-1236.63,-0.12,FULLY_EXITED,Closed below EMA20 trailing stop
QUESS,2026-07-31,2026-07-31,313.40,313.40,288.33,398,0.00,0.00,STOPPED_OUT,Stop loss hit
RADICO,2026-07-29,2026-07-31,4338.60,4340.80,3991.51,28,61.59,0.01,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
TBOTEK,2026-07-31,2026-07-31,1515.00,1531.20,1419.70,104,1684.79,0.17,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
ASTRAMICRO,2026-07-31,2026-07-31,1850.00,1861.60,1702.00,67,777.20,0.08,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
CHOLAFIN,2026-07-31,2026-07-31,1823.90,1849.90,1694.90,77,2002.00,0.20,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
XPROINDIA,2026-07-31,2026-07-31,1401.60,1500.40,1321.20,124,12251.21,1.23,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
BLUEJET,2026-08-03,2026-08-03,633.00,582.36,582.36,197,-9976.08,-1.00,STOPPED_OUT,Stop loss hit
DEEPAKFERT,2026-08-04,2026-08-07,1592.90,1537.80,1503.00,111,-6116.10,-0.61,FULLY_EXITED,Closed below EMA20 trailing stop
GRWRHITECH,2026-08-06,2026-08-07,7540.00,7374.00,6936.80,16,-2656.00,-0.28,STOPPED_OUT,Stop loss hit
IFBIND,2026-08-07,2026-08-07,1440.00,1440.00,1324.80,86,0.00,0.00,STOPPED_OUT,Stop loss hit
NEULANDLAB,2026-08-07,2026-08-07,21611.00,21611.00,19882.12,5,0.00,0.00,STOPPED_OUT,Stop loss hit
JAMNAAUTO,2026-08-03,2026-08-10,135.99,129.16,129.16,1464,-9999.12,-1.00,STOPPED_OUT,Stop loss hit
RANEHOLDIN,2026-08-03,2026-08-10,1759.90,1748.90,1619.11,71,-781.00,-0.08,TIME_EXIT,Sluggish breakout time stop (failed to reach Target 1 in 3 weeks)
RATEGAIN,2026-08-07,2026-08-11,960.00,908.85,883.20,130,-6649.50,-0.67,FULLY_EXITED,Closed below EMA20 trailing stop
PRESTIGE,2026-08-11,2026-08-14,1607.90,1592.50,1493.60,87,-1339.80,-0.13,FULLY_EXITED,Closed below EMA20 trailing stop
APOLLOTYRE,2026-08-07,2026-08-17,444.50,436.70,418.40,383,-2987.40,-0.30,FULLY_EXITED,Closed below EMA20 trailing stop
MMFL,2026-08-17,2026-08-17,590.00,590.00,542.80,211,0.00,0.00,STOPPED_OUT,Stop loss hit
VISAKAIND,2026-08-17,2026-08-20,96.60,94.00,88.87,1293,-3361.80,-0.34,STOPPED_OUT,Stop loss hit
CHENNPETRO,2026-08-18,2026-08-20,1400.00,1400.00,1288.00,89,0.00,0.00,STOPPED_OUT,Stop loss hit
