Symbol,Score,Engine_Type,Grade,Contraction Count,Contraction Sequence,VDU %,Pivot Price,Current Price,Distance to Pivot,Readiness Status,Entry Price,Stop Loss,Risk per Share,Position Size,R-Multiple,Trade Status,Entry Category,Tactical Trigger,Tactical Stop Loss,Target 1,Target 2
JINDRILL,85,STRICT_VCP,Grade A,2,T1: 10.0% | T2: 5.0%,20.0%,630.5499877929688,630.5499877929688,0.00%,STRICT READY,617.4734031285901,597.872309061077,19.601094067513145,404,0.0,PENDING_BREAKOUT,EMA_PULLBACK,617.47,597.87,656.68,686.08
GOLDIAM,84,STRICT_VCP,Grade A,2,T1: 10.0% | T2: 5.0%,20.0%,352.75,352.75,0.00%,STRICT READY,353.0,357.00569607194205,-4.0056960719420545,0,0.0,PENDING_BREAKOUT,EMA_PULLBACK,353.00,357.01,370.65,388.30
RRKABEL,58,STRICT_VCP,Grade B,2,T1: 15.1% | T2: 2.4%,37.7%,2775.0,2830.10009765625,1.99%,POST-BREAKOUT,2775.0,2708.300048828125,66.699951171875,90,0.0,BREAKOUT_WITHOUT_VOLUME,EMA_PULLBACK,2845.80,2786.80,2988.09,3130.38
BLISSGVS,52,STRICT_VCP,Grade B,2,T1: 17.3% | T2: 9.2%,41.1%,511.9500122070313,560.0999755859375,9.41%,POST-BREAKOUT,511.9500122070313,511.9500122070313,40.95600097656251,244,1.175650996943293,ACTIVE,EMA_PULLBACK,574.95,546.80,631.25,673.48
COMSYN,88,FLEX_VCP,Grade A,3,T1: 22.9% | T2: 10.3% | T3: 8.9%,14.4%,298.0,283.75,-4.78%,FLEX READY,298.0,274.16,23.839999999999975,419,0.0,PENDING_BREAKOUT,EMA_PULLBACK,294.00,277.49,327.02,351.79
ONWARDTEC,84,FLEX_VCP,Grade A,4,T1: 12.8% | T2: 10.1% | T3: 4.4% | T4: 3.1%,6.4%,289.5,285.6000061035156,-1.35%,FLEX READY,289.5,280.5,9.0,863,0.0,PENDING_BREAKOUT,EMA_PULLBACK,288.50,282.89,302.93,317.35
NIACL,77,FLEX_VCP,Grade A,4,T1: 9.6% | T2: 7.7% | T3: 5.6% | T4: 3.6%,13.1%,189.0,185.1999969482422,-2.01%,FLEX READY,189.0,182.1100006103516,6.889999389648409,1322,0.0,PENDING_BREAKOUT,EMA_PULLBACK,190.35,183.15,204.75,215.55
LALPATHLAB,69,FLEX_VCP,Grade B,4,T1: 6.6% | T2: 4.2% | T3: 4.7% | T4: 6.0%,36.0%,1988.9000244140625,1936.4000244140625,-2.64%,FLEX READY,1988.9000244140625,1870.0999755859373,118.80004882812523,84,0.0,PENDING_BREAKOUT,EMA_PULLBACK,1946.50,1875.10,2089.30,2196.40
M&MFIN,67,FLEX_VCP,Grade B,4,T1: 8.3% | T2: 5.6% | T3: 8.1% | T4: 5.1%,32.2%,397.5,383.3500061035156,-3.56%,FLEX READY,397.5,377.0499877929688,20.450012207031193,488,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,389.40,377.05,414.10,432.63
KPRMILL,66,FLEX_VCP,Grade B,4,T1: 11.5% | T2: 13.4% | T3: 5.3% | T4: 6.6%,20.8%,1152.800048828125,1126.5,-2.28%,FLEX READY,1152.800048828125,1077.0999755859375,75.7000732421875,132,0.0,PENDING_BREAKOUT,EMA_PULLBACK,1138.70,1101.03,1214.04,1270.55
RBLBANK,66,FLEX_VCP,Grade B,3,T1: 7.1% | T2: 9.0% | T3: 3.9%,36.4%,391.6859315931287,385.3999938964844,-1.60%,FLEX READY,391.6859315931287,376.3999938964844,15.28593769664434,638,0.0,PENDING_BREAKOUT,EMA_PULLBACK,386.65,380.30,405.98,425.31
NAUKRI,66,FLEX_VCP,Grade B,4,T1: 4.4% | T2: 6.5% | T3: 3.6% | T4: 4.3%,36.0%,1391.0,1330.0,-4.39%,FLEX READY,1391.0,1331.0999755859375,59.9000244140625,166,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,1360.00,1318.00,1444.00,1507.00
