Symbol,Score,Engine_Type,Grade,Contraction Count,Contraction Sequence,VDU %,Pivot Price,Current Price,Distance to Pivot,Readiness Status,Entry Price,Stop Loss,Risk per Share,Position Size,R-Multiple,Trade Status,Entry Category,Tactical Trigger,Tactical Stop Loss,Target 1,Target 2
GOLDIAM,91,STRICT_VCP,Grade A,2,T1: 10.0% | T2: 5.0%,20.0%,363.1499938964844,363.1499938964844,0.00%,STRICT READY,353.0,360.1980446009662,-7.198044600966227,0,0.0,PENDING_BREAKOUT,EMA_PULLBACK,353.00,360.20,370.65,388.30
JINDRILL,84,STRICT_VCP,Grade A,2,T1: 10.0% | T2: 5.0%,20.0%,628.7000122070312,628.7000122070312,0.00%,STRICT READY,609.2643923983211,592.07736585312,17.187026545201093,410,0.0,PENDING_BREAKOUT,EMA_PULLBACK,609.26,592.08,643.64,670.19
LLOYDSENGG,72,STRICT_VCP,Grade B,4,T1: 11.9% | T2: 9.9% | T3: 8.7% | T4: 8.2%,34.1%,93.73221166777348,92.25,-1.58%,STRICT READY,93.73221166777348,86.23363473435161,7.498576933421873,1333,0.0,PENDING_BREAKOUT,EMA_PULLBACK,94.62,91.60,100.66,105.19
CARBORUNIV,48,STRICT_VCP,Grade B,2,T1: 20.1% | T2: 7.6%,49.0%,1118.3334844669405,1137.5999755859375,1.72%,POST-BREAKOUT,1118.3334844669405,1033.0368895366375,85.29659493030294,117,0.22587643896851828,ACTIVE,EMA_PULLBACK,1129.80,1101.77,1186.29,1242.78
PPL,80,FLEX_VCP,Grade A,2,T1: 25.2% | T2: 9.9%,17.6%,279.95001220703125,270.75,-3.29%,FLEX READY,279.95001220703125,257.55401123046875,22.396000976562505,446,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,275.00,266.30,292.40,305.45
SHAREINDIA,79,FLEX_VCP,Grade A,3,T1: 12.8% | T2: 13.6% | T3: 9.4%,11.8%,182.07000732421875,175.27999877929688,-3.73%,FLEX READY,182.07000732421875,167.50440673828126,14.565600585937489,686,0.0,PENDING_BREAKOUT,EMA_PULLBACK,178.00,171.90,190.20,199.35
NIACL,78,FLEX_VCP,Grade A,4,T1: 8.5% | T2: 9.6% | T3: 7.7% | T4: 5.6%,17.0%,187.1000061035156,183.0800018310547,-2.15%,FLEX READY,187.1000061035156,176.60000610351562,10.499999999999972,952,0.0,PENDING_BREAKOUT,EMA_PULLBACK,189.00,182.29,202.42,212.49
NRL,69,FLEX_VCP,Grade B,3,T1: 10.1% | T2: 9.0% | T3: 3.1%,37.7%,117.66000366210938,115.36000061035156,-1.95%,FLEX READY,117.66000366210938,114.0,3.660003662109375,2124,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,116.00,113.00,122.00,127.60
JINDALSAW,68,FLEX_VCP,Grade B,3,T1: 10.9% | T2: 8.8% | T3: 6.4%,38.7%,281.0,269.75,-4.00%,FLEX READY,281.0,263.1499938964844,17.850006103515625,560,0.0,PENDING_BREAKOUT,EMA_PULLBACK,277.60,266.00,300.80,318.20
LALPATHLAB,68,FLEX_VCP,Grade B,4,T1: 6.6% | T2: 4.2% | T3: 4.7% | T4: 6.0%,37.3%,1988.9000244140625,1889.4000244140625,-5.00%,FLEX READY,1988.9000244140625,1870.0999755859373,118.80004882812523,84,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,1931.00,1870.10,2052.80,2144.15
AURUM,65,FLEX_VCP,Grade B,4,T1: 16.9% | T2: 11.1% | T3: 8.5% | T4: 4.8%,36.6%,232.94000244140625,229.8000030517578,-1.35%,FLEX READY,232.94000244140625,221.7899932861328,11.150009155273438,896,0.0,PENDING_BREAKOUT,EMA_PULLBACK,231.69,223.41,248.26,260.68
CHOLAFIN,63,FLEX_VCP,Grade B,3,T1: 7.1% | T2: 9.1% | T3: 4.6%,38.2%,1952.5,1888.9000244140625,-3.26%,FLEX READY,1952.5,1862.0,90.5,110,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,1907.00,1853.10,2014.80,2097.70
KARURVYSYA,62,FLEX_VCP,Grade B,4,T1: 5.1% | T2: 4.0% | T3: 6.1% | T4: 3.9%,31.6%,340.0,334.1000061035156,-1.74%,FLEX READY,340.0,326.6000061035156,13.399993896484375,735,0.0,PENDING_BREAKOUT,EMA_PULLBACK,335.65,329.00,352.43,369.21
SSWL,57,FLEX_VCP,Grade C,3,T1: 8.3% | T2: 8.8% | T3: 7.4%,33.3%,328.3999938964844,304.79998779296875,-7.19%,FLEX READY,328.3999938964844,304.1000061035156,24.29998779296875,411,0.0,PENDING_BREAKOUT,EMA_PULLBACK,317.95,303.00,347.85,370.28
EVEREADY,56,FLEX_VCP,Grade B,4,T1: 7.6% | T2: 8.2% | T3: 7.8% | T4: 5.4%,30.2%,369.8999938964844,355.04998779296875,-4.01%,FLEX READY,369.8999938964844,350.04998779296875,19.850006103515625,503,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,360.00,348.90,382.20,398.85
ANANDRATHI,54,FLEX_VCP,Grade B,4,T1: 5.4% | T2: 5.7% | T3: 5.6% | T4: 4.1%,39.3%,2114.89990234375,2171.10009765625,2.66%,POST-BREAKOUT,2114.89990234375,2028.5,86.39990234375,115,0.0,BREAKOUT_WITHOUT_VOLUME,TIGHT_CHEAT_VCP,2209.20,2145.10,2337.40,2433.55
ARE&M,53,FLEX_VCP,Grade C,4,T1: 6.5% | T2: 5.2% | T3: 7.1% | T4: 6.8%,38.3%,957.0,930.8499755859376,-2.73%,FLEX READY,957.0,891.9000244140625,65.0999755859375,153,0.0,PENDING_BREAKOUT,TIGHT_CHEAT_VCP,952.80,925.80,1006.80,1048.08
AEGISLOG,36,FLEX_VCP,Grade C,3,T1: 17.8% | T2: 14.8% | T3: 17.1%,30.4%,1497.800048828125,1336.199951171875,-10.79%,DEVELOPING,1497.800048828125,1377.976044921875,119.82400390625003,83,0.0,PENDING_BREAKOUT,EMA_PULLBACK,1396.00,1303.10,1581.80,1721.15
FCL,27,FLEX_VCP,Grade C,4,T1: 21.4% | T2: 13.5% | T3: 14.3% | T4: 9.7%,57.5%,41.4900016784668,43.54999923706055,4.97%,POST-BREAKOUT,41.4900016784668,41.4900016784668,3.319200134277345,3012,0.6206307168164332,ACTIVE,EMA_PULLBACK,46.20,42.50,53.59,59.14
BEPL,86,MINI_VCP,Grade A,2,T1: 19.0% | T2: 6.0%,14.1%,127.77999877929688,123.2300033569336,-3.56%,MINI READY,127.77999877929688,120.0999984741211,7.680000305175781,1302,0.0,PENDING_BREAKOUT,EMA_PULLBACK,122.80,118.45,131.50,138.03
PDSL,83,MINI_VCP,Grade A,2,T1: 18.3% | T2: 5.8%,16.9%,372.6499938964844,370.1499938964844,-0.67%,MINI READY,372.6499938964844,350.8999938964844,21.75,459,0.0,PENDING_BREAKOUT,EMA_PULLBACK,366.65,361.27,384.98,403.31
KIRLOSBROS,65,MINI_VCP,Grade B,4,T1: 8.7% | T2: 6.5% | T3: 5.9% | T4: 6.0%,23.7%,1993.0,1918.199951171875,-3.75%,MINI READY,1993.0,1873.0999755859373,119.90002441406273,83,0.0,PENDING_BREAKOUT,EMA_PULLBACK,1976.70,1900.70,2128.70,2242.70
MWL,67,PULLBACK_EMA10,Grade A,1,PB: 3.0% Risk,25.5%,41.16999816894531,41.16999816894531,0.55%,PULLBACK READY,41.16999816894531,39.92194997754332,1.2480481914019919,6072,0.0,PENDING_BREAKOUT,EMA10 PULLBACK,41.17,39.92,43.67,45.54
BCLIND,45,PULLBACK_EMA20,Grade A,1,PB: 4.7% Risk,44.0%,37.18999862670898,37.18999862670898,2.29%,PULLBACK READY,37.18999862670898,35.44868775156561,1.7413108751433697,5742,0.0,PENDING_BREAKOUT,EMA20 PULLBACK,37.19,35.45,40.67,43.28
PCBL,35,PULLBACK_EMA10,Grade B,1,PB: 3.0% Risk,75.6%,319.8500061035156,319.8500061035156,-0.28%,PULLBACK READY,319.8500061035156,310.25450592041017,9.595500183105457,781,0.0,PENDING_BREAKOUT,EMA10 PULLBACK,319.85,310.25,339.04,353.43
